Gender_Female,Gender_Male,Married_No,Married_Yes,Education_Graduate,Education_Not_Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,TotalIncomeLog,LoanAmountLog,Credit_History,Loan_Status
0,1,1,0,1,0,1,0,0,0,1,8.674025985443025,5.062595033026967,1.0,1
0,1,0,1,1,0,1,0,1,0,0,8.714567550836485,4.852030263919617,1.0,0
0,1,0,1,1,0,0,1,0,0,1,8.006367567650246,4.189654742026425,1.0,1
0,1,0,1,0,1,1,0,0,0,1,8.50532301884575,4.787491742782046,1.0,1
0,1,1,0,1,0,1,0,0,0,1,8.699514748210191,4.948759890378168,1.0,1
0,1,0,1,1,0,0,1,0,0,1,9.170871628065816,5.58724865840025,1.0,1
0,1,0,1,0,1,1,0,0,0,1,8.255568653283746,4.553876891600541,1.0,1
0,1,0,1,1,0,1,0,0,1,0,8.61974977974133,5.062595033026967,0.0,0
0,1,0,1,1,0,1,0,0,0,1,8.61830469278465,5.123963979403259,1.0,1
0,1,0,1,1,0,1,0,0,1,0,10.077818939438902,5.855071922202427,1.0,0
0,1,0,1,1,0,1,0,0,0,1,8.268731832117737,4.248495242049359,1.0,1
0,1,0,1,1,0,1,0,0,0,1,8.375629627094451,4.6913478822291435,1.0,1
0,1,0,1,1,0,1,0,0,0,1,9.321792297270326,5.298317366548036,1.0,1
0,1,1,0,1,0,1,0,1,0,0,8.453827315794417,4.736198448394496,1.0,0
0,1,0,1,1,0,1,0,0,0,1,7.776954403322442,2.833213344056216,1.0,1
0,1,1,0,1,0,1,0,0,0,1,8.507142855562735,4.8283137373023015,1.0,1
0,1,1,0,0,1,1,0,0,0,1,8.18757739559151,4.605170185988092,1.0,1
1,0,1,0,1,0,1,0,0,0,1,8.163371316459912,4.330733340286331,0.0,0
0,1,0,1,0,1,1,0,1,0,0,8.494333897270154,4.890349128221754,1.0,0
0,1,0,1,1,0,1,0,0,0,1,8.716044050161402,4.74493212836325,1.0,1
0,1,0,1,0,1,1,0,0,0,1,8.943767262734637,4.6443908991413725,0.0,0
0,1,0,1,1,0,1,0,0,0,1,9.357034751126987,5.752572638825633,1.0,1
0,1,0,1,0,1,1,0,0,1,0,8.414274137408396,4.7535901911063645,0.0,0
0,1,0,1,0,1,1,0,1,0,0,8.572060092857077,4.718498871295094,0.0,0
0,1,0,1,1,0,1,0,0,1,0,8.801168401936692,5.017279836814924,1.0,0
0,1,0,1,1,0,0,1,0,1,0,9.165343006045447,5.25227342804663,1.0,1
0,1,0,1,1,0,1,0,0,1,0,8.527539483470381,4.804021044733257,1.0,1
0,1,0,1,0,1,1,0,0,0,1,8.569026340056254,4.700480365792417,1.0,1
0,1,1,0,0,1,1,0,0,0,1,7.273786317844895,3.5553480614894135,1.0,0
1,0,1,0,1,0,1,0,0,1,0,8.671286726753637,4.787491742782046,1.0,1
0,1,0,1,1,0,1,0,0,0,1,8.927314111060596,5.303304908059076,1.0,0
0,1,1,0,1,0,1,0,0,0,1,8.06054004653864,4.30406509320417,1.0,0
0,1,1,0,1,0,0,1,1,0,0,8.453614209773367,4.663439094112067,1.0,0
0,1,0,1,1,0,1,0,0,1,0,8.550047528287184,4.736198448394496,1.0,1
0,1,1,0,1,0,1,0,1,0,0,9.648595302907339,5.768320995793772,1.0,0
0,1,0,1,1,0,1,0,0,0,1,8.376090350438238,5.062595033026967,1.0,1
0,1,0,1,1,0,1,0,0,0,1,8.057694194815587,4.605170185988092,0.0,0
1,0,0,1,1,0,1,0,0,1,0,8.542080906924017,4.969813299576001,1.0,1
0,1,1,0,1,0,1,0,0,0,1,9.339261152043022,5.214935757608986,1.0,1
0,1,1,0,0,1,1,0,0,1,0,8.59711281459211,4.700480365792417,1.0,1
0,1,1,0,1,0,1,0,0,0,1,8.1886891244442,4.382026634673881,1.0,0
